[17-Aug-2014 12:48:40 PM] Mod T used command:	[tele 0,40,48,51,22]
[17-Aug-2014 12:49:13 PM] Mod T used command:	[tele 0,40,48,54,25]
[17-Aug-2014 12:49:14 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:14 PM] Mod T used command:	[tele 0,40,48,54,24]
[17-Aug-2014 12:49:15 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:16 PM] Mod T used command:	[tele 0,40,48,54,23]
[17-Aug-2014 12:49:19 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:21 PM] Mod T used command:	[tele 0,40,48,54,22]
[17-Aug-2014 12:49:22 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:22 PM] Mod T used command:	[tele 0,40,48,54,21]
[17-Aug-2014 12:49:23 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:24 PM] Mod T used command:	[tele 0,40,48,54,20]
[17-Aug-2014 12:49:25 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:26 PM] Mod T used command:	[tele 0,40,48,54,19]
[17-Aug-2014 12:49:27 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:27 PM] Mod T used command:	[tele 0,40,48,54,18]
[17-Aug-2014 12:49:28 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:28 PM] Mod T used command:	[tele 0,40,48,54,17]
[17-Aug-2014 12:49:29 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:30 PM] Mod T used command:	[tele 0,40,48,54,16]
[17-Aug-2014 12:49:30 PM] Mod T used command:	[obj 42373 10 2]
[17-Aug-2014 12:49:31 PM] Mod T used command:	[tele 0,40,48,52,18]
[17-Aug-2014 12:50:11 PM] Mod T used command:	[tele 0,40,48,50,21]
[17-Aug-2014 12:50:21 PM] Mod T used command:	[rmospns]
[17-Aug-2014 12:51:05 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:51:12 PM] Mod T used command:	[obj 1902 0 2]
[17-Aug-2014 12:51:14 PM] Mod T used command:	[tele 0,40,48,46,26]
[17-Aug-2014 12:51:18 PM] Mod T used command:	[obj 1902 0 2]
[17-Aug-2014 12:51:23 PM] Mod T used command:	[obj 1039 5 2]
[17-Aug-2014 12:52:01 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:52:07 PM] Mod T used command:	[obj 1870 10 1]
[17-Aug-2014 12:52:38 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:52:45 PM] Mod T used command:	[tele 0,40,48,47,19]
[17-Aug-2014 12:52:47 PM] Mod T used command:	[pos]
[17-Aug-2014 12:53:49 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:53:59 PM] Mod T used command:	[obj 336 22 3]
[17-Aug-2014 12:54:00 PM] Mod T used command:	[tele 0,40,48,46,25]
[17-Aug-2014 12:54:01 PM] Mod T used command:	[obj 336 22 3]
[17-Aug-2014 12:54:09 PM] Mod T used command:	[obj 336 22 3]
[17-Aug-2014 12:54:20 PM] Mod T used command:	[obj 1246 22 1]
[17-Aug-2014 12:54:34 PM] Mod T used command:	[obj 1902 1 1]
[17-Aug-2014 12:54:45 PM] Mod T used command:	[obj 4735 22 3]
[17-Aug-2014 12:55:01 PM] Mod T used command:	[pos]
[17-Aug-2014 12:55:05 PM] Mod T used command:	[sendhome mod t]
[17-Aug-2014 12:55:17 PM] Mod T used command:	[xtele 2608 2090]
[17-Aug-2014 12:55:19 PM] Mod T used command:	[xtele 2608 3090]
[17-Aug-2014 12:55:26 PM] Mod T used command:	[obj 13199 10 1]
[17-Aug-2014 12:55:29 PM] Mod T used command:	[obj 13199 10 1]
[17-Aug-2014 12:55:32 PM] Mod T used command:	[tele 0,40,48,43,23]
[17-Aug-2014 12:55:33 PM] Mod T used command:	[tele 0,40,48,43,27]
[17-Aug-2014 12:55:35 PM] Mod T used command:	[obj 13199 10 1]
